Jan 19, 2018  03:01:28 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   1.70E-008, 
  1.10,   1.83E-008, 
  1.20,   1.26E-007, 
  1.30,   4.12E-007, 
  1.40,   2.87E-007, 
  1.50,   3.11E-007, 
  1.60,   3.69E-007, 
  1.70,   3.89E-007, 
  1.80,   3.96E-007, 
  1.90,   3.79E-007, 
  2.00,   3.48E-007, 
  2.10,   3.23E-007, 
  2.20,   2.91E-007, 
  2.30,   2.16E-007, 
  2.40,   1.30E-007, 
  2.50,   2.52E-008, 
  2.60,   9.77E-009, 
  2.70,   6.72E-009, 
  2.80,   5.40E-009, 
  2.90,   4.72E-009, 
  3.00,   4.21E-009, 
  3.10,   3.87E-009, 
  3.20,   3.58E-009, 
  3.30,   3.27E-009, 
  3.40,   3.04E-009, 
  3.50,   2.83E-009, 
  3.60,   2.57E-009, 
  3.70,   2.36E-009, 
  3.80,   2.30E-009, 
  3.90,   2.09E-009, 
  4.00,   1.93E-009, 
  4.10,   1.85E-009, 
  4.20,   1.73E-009, 
  4.30,   1.70E-009, 
  4.40,   1.59E-009, 
  4.50,   1.45E-009, 
  4.60,   1.35E-009, 
  4.70,   1.30E-009, 
  4.80,   1.27E-009, 
  4.90,   1.17E-009, 
  5.00,   1.08E-009, 
  5.10,   1.01E-009, 
  5.20,   9.76E-010, 
  5.30,   9.23E-010, 
  5.40,   9.65E-010, 
  5.50,   9.25E-010, 
  5.60,   8.32E-010, 
  5.70,   8.17E-010, 
  5.80,   7.91E-010, 
  5.90,   7.99E-010, 
  6.00,   7.27E-010, 
  6.10,   4.56E-010, 
  6.20,   5.07E-010, 
  6.30,   5.40E-010, 
  6.40,   5.46E-010, 
  6.50,   5.17E-010, 
  6.60,   4.74E-010, 
  6.70,   4.09E-010, 
  6.80,   4.25E-010, 
  6.90,   3.68E-010, 
  7.00,   4.39E-010, 
  7.10,   5.05E-010, 
  7.20,   4.57E-010, 
  7.30,   4.42E-010, 
  7.40,   3.82E-010, 
  7.50,   3.38E-010, 
  7.60,   3.58E-010, 
  7.70,   4.60E-010, 
  7.80,   4.09E-010, 
  7.90,   4.11E-010, 
  8.00,   4.17E-010, 
  8.10,   4.20E-010, 
  8.20,   4.10E-010, 
  8.30,   4.39E-010, 
  8.40,   4.04E-010, 
  8.50,   3.89E-010, 
  8.60,   3.24E-010, 
  8.70,   3.17E-010, 
  8.80,   3.28E-010, 
  8.90,   3.02E-010, 
  9.00,   2.81E-010, 
  9.10,   2.74E-010, 
  9.20,   2.33E-010, 
  9.30,   2.52E-010, 
  9.40,   2.66E-010, 
  9.50,   2.68E-010, 
  9.60,   3.06E-010, 
  9.70,   2.33E-010, 
  9.80,   2.48E-010, 
  9.90,   2.22E-010, 
 10.00,   2.17E-010, 
 10.10,   2.45E-010, 
 10.20,   2.48E-010, 
 10.30,   2.80E-010, 
 10.40,   2.77E-010, 
 10.50,   2.71E-010, 
 10.60,   2.71E-010, 
 10.70,   2.73E-010, 
 10.80,   2.82E-010, 
 10.90,   2.52E-010, 
 11.00,   2.86E-010, 
 11.10,   2.91E-010, 
 11.20,   3.30E-010, 
 11.30,   4.03E-010, 
 11.40,   5.14E-010, 
 11.50,   1.04E-009, 
 11.60,   2.77E-009, 
 11.70,   6.23E-009, 
 11.80,   9.37E-009, 
 11.90,   1.29E-008, 
 12.00,   1.50E-008, 
 12.10,   1.62E-008, 
 12.20,   1.48E-008, 
 12.30,   1.19E-008, 
 12.40,   6.48E-009, 
 12.50,   3.53E-009, 
 12.60,   2.32E-009, 
 12.70,   2.19E-009, 
 12.80,   2.34E-009, 
 12.90,   2.60E-009, 
 13.00,   2.85E-009, 
 13.10,   3.04E-009, 
 13.20,   2.99E-009, 
 13.30,   2.79E-009, 
 13.40,   2.13E-009, 
 13.50,   1.72E-009, 
 13.60,   2.39E-009, 
 13.70,   4.98E-009, 
 13.80,   7.73E-009, 
 13.90,   1.03E-008, 
 14.00,   1.22E-008, 
 14.10,   1.33E-008, 
 14.20,   1.24E-008, 
 14.30,   1.05E-008, 
 14.40,   6.33E-009, 
 14.50,   3.75E-009, 
 14.60,   3.10E-009, 
 14.70,   4.82E-009, 
 14.80,   7.20E-009, 
 14.90,   9.39E-009, 
 15.00,   1.11E-008, 
 15.10,   1.21E-008, 
 15.20,   1.18E-008, 
 15.30,   1.05E-008, 
 15.40,   7.11E-009, 
 15.50,   5.37E-009, 
 15.60,   9.53E-009, 
 15.70,   2.95E-008, 
 15.80,   4.80E-008, 
 15.90,   5.89E-008, 
 16.00,   6.04E-008, 
 16.10,   6.35E-008, 
 16.20,   5.49E-008, 
 16.30,   4.20E-008, 
 16.40,   1.85E-008, 
 16.50,   1.95E-008, 
 16.60,   8.53E-008, 
 16.70,   2.78E-007, 
 16.80,   3.61E-007, 
 16.90,   4.20E-007, 
 17.00,   4.05E-007, 
 17.10,   4.31E-007, 
 17.20,   3.58E-007, 
 17.30,   2.30E-007, 
 17.40,   4.82E-008, 
 17.50,   7.11E-008, 
 17.60,   3.38E-007, 
 17.70,   1.09E-006, 
 17.80,   1.46E-006, 
 17.90,   1.70E-006, 
 18.00,   1.61E-006, 
 18.10,   1.76E-006, 
 18.20,   1.45E-006, 
 18.30,   8.97E-007, 
 18.40,   5.58E-008, 
 18.50,   1.06E-008, 
 18.60,   4.99E-009, 
 18.70,   3.78E-009, 
 18.80,   4.05E-009, 
 18.90,   4.65E-009, 
 19.00,   5.03E-009, 
 19.10,   5.26E-009, 
 19.20,   5.25E-009, 
 19.30,   4.80E-009, 
 19.40,   3.09E-009, 
 19.50,   1.82E-009, 
 19.60,   1.20E-009, 
 19.70,   1.26E-009, 
 19.80,   1.80E-009, 
 19.90,   2.59E-009, 
 20.00,   3.07E-009, 
 20.10,   3.38E-009, 
 20.20,   3.41E-009, 
 20.30,   3.09E-009, 
 20.40,   2.01E-009, 
 20.50,   1.15E-009, 
 20.60,   5.34E-010, 
 20.70,   2.25E-010, 
 20.80,   1.40E-010, 
 20.90,   4.35E-011, 
 21.00,  -2.30E-011, 
 21.10,  -5.16E-011, 
 21.20,   1.86E-012, 
 21.30,  -2.30E-011, 
 21.40,  -8.07E-012, 
 21.50,  -2.92E-011, 
 21.60,  -9.94E-012, 
 21.70,   1.89E-010, 
 21.80,   6.40E-010, 
 21.90,   1.16E-009, 
 22.00,   1.23E-009, 
 22.10,   1.41E-009, 
 22.20,   1.40E-009, 
 22.30,   1.23E-009, 
 22.40,   7.23E-010, 
 22.50,   2.47E-010, 
 22.60,   1.00E-010, 
 22.70,  -1.37E-011, 
 22.80,  -8.32E-011, 
 22.90,  -8.01E-011, 
 23.00,  -1.01E-010, 
 23.10,  -9.44E-011, 
 23.20,  -7.64E-011, 
 23.30,  -7.95E-011, 
 23.40,  -1.02E-010, 
 23.50,  -7.27E-011, 
 23.60,  -6.89E-011, 
 23.70,  -2.92E-011, 
 23.80,   1.11E-010, 
 23.90,   2.86E-010, 
 24.00,   3.55E-010, 
 24.10,   4.22E-010, 
 24.20,   4.15E-010, 
 24.30,   2.92E-010, 
 24.40,   2.02E-010, 
 24.50,   8.14E-011, 
 24.60,   3.60E-011, 
 24.70,   1.31E-010, 
 24.80,   5.36E-010, 
 24.90,   1.21E-009, 
 25.00,   1.42E-009, 
 25.10,   1.57E-009, 
 25.20,   1.59E-009, 
 25.30,   1.42E-009, 
 25.40,   9.80E-010, 
 25.50,   5.73E-010, 
 25.60,   4.37E-010, 
 25.70,   1.02E-009, 
 25.80,   2.49E-009, 
 25.90,   4.94E-009, 
 26.00,   6.58E-009, 
 26.10,   7.53E-009, 
 26.20,   7.46E-009, 
 26.30,   6.83E-009, 
 26.40,   4.20E-009, 
 26.50,   2.44E-009, 
 26.60,   1.75E-009, 
 26.70,   1.85E-009, 
 26.80,   3.85E-009, 
 26.90,   8.34E-009, 
 27.00,   1.22E-008, 
 27.10,   1.45E-008, 
 27.20,   1.43E-008, 
 27.30,   1.28E-008, 
 27.40,   7.65E-009, 
 27.50,   5.93E-009, 
 27.60,   8.41E-009, 
 27.70,   2.56E-008, 
 27.80,   1.25E-007, 
 27.90,   2.10E-007, 
 28.00,   2.12E-007, 
 28.10,   2.10E-007, 
 28.20,   1.87E-007, 
 28.30,   1.05E-007, 
 28.40,   1.76E-008, 
 28.50,   6.45E-009, 
 28.60,   3.98E-009, 
 28.70,   3.55E-009, 
 28.80,   6.55E-009, 
 28.90,   1.64E-008, 
 29.00,   2.35E-008, 
 29.10,   2.65E-008, 
 29.20,   2.47E-008, 
 29.30,   1.96E-008, 
 29.40,   8.28E-009, 
 29.50,   4.07E-009, 
 29.60,   2.39E-009, 
 29.70,   1.78E-009, 
 29.80,   2.41E-009, 
 29.90,   4.93E-009, 
 30.00,   6.97E-009, 
 30.10,   8.39E-009, 
 30.20,   8.39E-009, 
 30.30,   7.46E-009, 
 30.40,   4.30E-009, 
 30.50,   2.34E-009, 
 30.60,   1.38E-009, 
 30.70,   9.01E-010, 
 30.80,   9.48E-010, 
 30.90,   1.80E-009, 
 31.00,   2.72E-009, 
 31.10,   3.49E-009, 
 31.20,   3.80E-009, 
 31.30,   3.56E-009, 
 31.40,   2.38E-009, 
 31.50,   1.45E-009, 
 31.60,   1.15E-009, 
 31.70,   1.50E-009, 
 31.80,   3.96E-009, 
 31.90,   1.15E-008, 
 32.00,   1.83E-008, 
 32.10,   2.20E-008, 
 32.20,   2.10E-008, 
 32.30,   1.50E-008, 
 32.40,   6.37E-009, 
 32.50,   3.26E-009, 
 32.60,   1.85E-009, 
 32.70,   1.11E-009, 
 32.80,   5.71E-010, 
 32.90,   3.27E-010, 
 33.00,   2.32E-010, 
 33.10,   2.17E-010, 
 33.20,   1.28E-010, 
 33.30,   4.47E-011, 
 33.40,   4.91E-011, 
 33.50,   1.49E-011, 
 33.60,   1.99E-011, 
 33.70,   2.80E-011, 
 33.80,   1.30E-011, 
 33.90,   3.54E-011, 
 34.00,   6.27E-011, 
 34.10,   1.41E-010, 
 34.20,   1.20E-010, 
 34.30,   7.95E-011, 
 34.40,   3.35E-011, 
 34.50,  -9.07E-011, 
 34.60,  -8.63E-011, 
 34.70,  -1.29E-010, 
 34.80,  -1.91E-010, 
 34.90,  -1.66E-010, 
 35.00,  -1.41E-010, 
 35.10,  -1.03E-010, 
 35.20,  -3.91E-011, 
 35.30,  -2.98E-011, 
 35.40,  -8.94E-011, 
 35.50,  -1.04E-010, 
 35.60,  -5.90E-011, 
 35.70,  -1.23E-010, 
 35.80,  -3.79E-011, 
 35.90,   1.21E-010, 
 36.00,   3.08E-010, 
 36.10,   3.99E-010, 
 36.20,   4.61E-010, 
 36.30,   4.25E-010, 
 36.40,   2.27E-010, 
 36.50,   9.19E-011, 
 36.60,   7.95E-011, 
 36.70,   3.04E-011, 
 36.80,   3.29E-011, 
 36.90,   1.59E-010, 
 37.00,   3.75E-010, 
 37.10,   7.62E-010, 
 37.20,   9.22E-010, 
 37.30,   7.83E-010, 
 37.40,   3.52E-010, 
 37.50,   9.94E-011, 
 37.60,  -1.86E-012, 
 37.70,   3.73E-011, 
 37.80,   9.13E-011, 
 37.90,   3.47E-010, 
 38.00,   9.01E-010, 
 38.10,   1.27E-009, 
 38.20,   1.38E-009, 
 38.30,   1.36E-009, 
 38.40,   9.39E-010, 
 38.50,   3.76E-010, 
 38.60,   2.41E-010, 
 38.70,   2.62E-010, 
