Time - Plot 0	Amplitude - Plot 0	
0	1.0E+3	
1	1.0E+3	
2	1.0E+3	
3	1.0E+3	
4	1.0E+3	
5	1.0E+3	
6	1.0E+3	
7	1.0E+3	
8	1.0E+3	
9	1.0E+3	
10	8.0E+2	
11	5.2E+2	
12	3.6E+2	
13	2.6E+2	
14	1.9E+2	
15	1.5E+2	
16	1.1E+2	
17	9.0E+1	
18	7.2E+1	
19	5.7E+1	
20	4.6E+1	
21	3.7E+1	
22	3.0E+1	
23	2.4E+1	
24	1.9E+1	
25	1.5E+1	
26	1.2E+1	
27	8.8E+0	
28	6.2E+0	
29	3.7E+0	
30	2.0E+0	
31	3.0E-1	
32	3.9E-2	
33	2.8E-2	
34	2.4E-2	
35	2.0E-2	
36	1.8E-2	
37	1.6E-2	
38	1.4E-2	
39	1.3E-2	
40	1.2E-2	
41	1.1E-2	
42	1.1E-2	
43	1.0E-2	
44	9.8E-3	
45	9.3E-3	
46	8.8E-3	
47	8.7E-3	
48	8.5E-3	
49	8.2E-3	
50	8.0E-3	
51	7.9E-3	
52	7.8E-3	
53	7.6E-3	
54	7.5E-3	
55	7.3E-3	
56	7.2E-3	
57	7.2E-3	
58	7.1E-3	
59	7.1E-3	
60	7.0E-3	
61	7.0E-3	
62	6.9E-3	
63	6.8E-3	
64	6.7E-3	
65	6.7E-3	
66	6.7E-3	
67	6.6E-3	
68	6.5E-3	
69	6.5E-3	
70	6.5E-3	
71	6.4E-3	
72	6.4E-3	
73	6.3E-3	
74	6.4E-3	
75	6.3E-3	
76	6.3E-3	
77	6.3E-3	
78	6.2E-3	
79	6.2E-3	
80	6.2E-3	
81	6.2E-3	
82	6.1E-3	
83	6.1E-3	
84	6.1E-3	
85	6.1E-3	
86	6.1E-3	
87	6.0E-3	
88	6.0E-3	
89	6.0E-3	
90	6.0E-3	
91	6.0E-3	
92	5.9E-3	
93	5.9E-3	
94	5.9E-3	
95	5.9E-3	
96	5.9E-3	
97	5.9E-3	
98	5.9E-3	
99	5.8E-3	
100	5.8E-3	
101	5.8E-3	
102	5.8E-3	
103	5.8E-3	
104	5.8E-3	
105	5.8E-3	
106	5.7E-3	
107	5.7E-3	
108	5.7E-3	
109	5.7E-3	
110	5.7E-3	
111	5.7E-3	
112	5.7E-3	
113	5.6E-3	
114	5.6E-3	
115	5.6E-3	
116	5.6E-3	
117	5.6E-3	
118	5.6E-3	
119	5.6E-3	
120	5.6E-3	
121	5.6E-3	
122	5.6E-3	
123	5.6E-3	
124	5.6E-3	
125	5.6E-3	
126	5.6E-3	
127	5.5E-3	
128	5.5E-3	
129	5.5E-3	
130	5.5E-3	
131	5.5E-3	
132	5.5E-3	
133	5.5E-3	
134	5.5E-3	
135	5.5E-3	
136	5.5E-3	
137	5.5E-3	
138	5.5E-3	
139	5.5E-3	
140	5.5E-3	
141	5.5E-3	
142	5.5E-3	
143	5.5E-3	
144	5.5E-3	
145	5.5E-3	
146	5.5E-3	
147	5.5E-3	
148	5.5E-3	
149	5.4E-3	
150	5.4E-3	
151	5.4E-3	
152	5.4E-3	
153	5.4E-3	
154	5.4E-3	
155	5.4E-3	
156	5.4E-3	
157	5.4E-3	
