Jan 12, 2018  04:00:13 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.61E-004 
Filament Current, 1.00, mAmps


  1.00,   6.34E-009, 
  1.10,   6.66E-009, 
  1.20,   2.26E-008, 
  1.30,   1.35E-007, 
  1.40,   1.19E-007, 
  1.50,   1.49E-007, 
  1.60,   1.87E-007, 
  1.70,   2.01E-007, 
  1.80,   2.06E-007, 
  1.90,   2.04E-007, 
  2.00,   1.85E-007, 
  2.10,   1.74E-007, 
  2.20,   1.57E-007, 
  2.30,   1.19E-007, 
  2.40,   7.72E-008, 
  2.50,   2.00E-008, 
  2.60,   7.64E-009, 
  2.70,   4.78E-009, 
  2.80,   3.38E-009, 
  2.90,   2.66E-009, 
  3.00,   2.24E-009, 
  3.10,   1.92E-009, 
  3.20,   1.72E-009, 
  3.30,   1.48E-009, 
  3.40,   1.27E-009, 
  3.50,   1.15E-009, 
  3.60,   1.07E-009, 
  3.70,   9.01E-010, 
  3.80,   8.43E-010, 
  3.90,   5.34E-010, 
  4.00,   5.48E-010, 
  4.10,   5.25E-010, 
  4.20,   5.08E-010, 
  4.30,   4.80E-010, 
  4.40,   4.60E-010, 
  4.50,   4.72E-010, 
  4.60,   4.96E-010, 
  4.70,   4.56E-010, 
  4.80,   4.80E-010, 
  4.90,   4.43E-010, 
  5.00,   4.49E-010, 
  5.10,   3.56E-010, 
  5.20,   3.75E-010, 
  5.30,   3.50E-010, 
  5.40,   3.09E-010, 
  5.50,   3.30E-010, 
  5.60,   3.61E-010, 
  5.70,   3.63E-010, 
  5.80,   3.22E-010, 
  5.90,   2.44E-010, 
  6.00,   2.48E-010, 
  6.10,   2.59E-010, 
  6.20,   2.27E-010, 
  6.30,   2.11E-010, 
  6.40,   1.83E-010, 
  6.50,   1.34E-010, 
  6.60,   8.63E-011, 
  6.70,   1.32E-010, 
  6.80,   1.97E-010, 
  6.90,   1.73E-010, 
  7.00,   1.32E-010, 
  7.10,   6.15E-011, 
  7.20,   1.50E-010, 
  7.30,   1.46E-010, 
  7.40,   1.21E-010, 
  7.50,   5.47E-011, 
  7.60,   9.69E-011, 
  7.70,   9.75E-011, 
  7.80,   1.42E-010, 
  7.90,   1.24E-010, 
  8.00,   1.22E-010, 
  8.10,   1.21E-010, 
  8.20,   8.32E-011, 
  8.30,   9.19E-011, 
  8.40,   1.49E-010, 
  8.50,   5.34E-011, 
  8.60,   1.13E-010, 
  8.70,   1.08E-010, 
  8.80,   5.28E-011, 
  8.90,   3.42E-011, 
  9.00,   5.09E-011, 
  9.10,   1.04E-010, 
  9.20,   7.89E-011, 
  9.30,   1.18E-010, 
  9.40,   1.72E-010, 
  9.50,   1.80E-010, 
  9.60,   1.30E-010, 
  9.70,   9.81E-011, 
  9.80,   7.08E-011, 
  9.90,   1.17E-010, 
 10.00,   1.35E-010, 
 10.10,   3.11E-011, 
 10.20,   1.74E-011, 
 10.30,   2.92E-011, 
 10.40,   6.65E-011, 
 10.50,   6.65E-011, 
 10.60,   1.12E-010, 
 10.70,   2.73E-011, 
 10.80,  -2.92E-011, 
 10.90,   8.07E-012, 
 11.00,  -3.35E-011, 
 11.10,  -1.55E-011, 
 11.20,   2.73E-011, 
 11.30,   8.63E-011, 
 11.40,   9.75E-011, 
 11.50,   2.07E-010, 
 11.60,   8.65E-010, 
 11.70,   2.13E-009, 
 11.80,   3.12E-009, 
 11.90,   4.16E-009, 
 12.00,   4.91E-009, 
 12.10,   5.39E-009, 
 12.20,   5.32E-009, 
 12.30,   4.64E-009, 
 12.40,   3.09E-009, 
 12.50,   1.84E-009, 
 12.60,   1.29E-009, 
 12.70,   1.12E-009, 
 12.80,   1.03E-009, 
 12.90,   1.05E-009, 
 13.00,   1.19E-009, 
 13.10,   1.27E-009, 
 13.20,   1.24E-009, 
 13.30,   1.18E-009, 
 13.40,   9.18E-010, 
 13.50,   7.71E-010, 
 13.60,   1.03E-009, 
 13.70,   2.33E-009, 
 13.80,   3.63E-009, 
 13.90,   4.73E-009, 
 14.00,   5.61E-009, 
 14.10,   6.12E-009, 
 14.20,   6.02E-009, 
 14.30,   5.37E-009, 
 14.40,   3.61E-009, 
 14.50,   2.20E-009, 
 14.60,   1.73E-009, 
 14.70,   2.34E-009, 
 14.80,   3.27E-009, 
 14.90,   4.10E-009, 
 15.00,   4.75E-009, 
 15.10,   5.19E-009, 
 15.20,   5.24E-009, 
 15.30,   4.79E-009, 
 15.40,   3.37E-009, 
 15.50,   2.48E-009, 
 15.60,   3.30E-009, 
 15.70,   7.93E-009, 
 15.80,   1.39E-008, 
 15.90,   1.87E-008, 
 16.00,   2.07E-008, 
 16.10,   2.25E-008, 
 16.20,   2.07E-008, 
 16.30,   1.63E-008, 
 16.40,   8.54E-009, 
 16.50,   7.25E-009, 
 16.60,   1.88E-008, 
 16.70,   9.07E-008, 
 16.80,   1.30E-007, 
 16.90,   1.47E-007, 
 17.00,   1.47E-007, 
 17.10,   1.58E-007, 
 17.20,   1.32E-007, 
 17.30,   8.61E-008, 
 17.40,   2.35E-008, 
 17.50,   2.15E-008, 
 17.60,   8.51E-008, 
 17.70,   3.85E-007, 
 17.80,   5.37E-007, 
 17.90,   5.95E-007, 
 18.00,   5.77E-007, 
 18.10,   6.19E-007, 
 18.20,   5.12E-007, 
 18.30,   2.96E-007, 
 18.40,   3.07E-008, 
 18.50,   8.24E-009, 
 18.60,   4.17E-009, 
 18.70,   2.48E-009, 
 18.80,   1.79E-009, 
 18.90,   1.46E-009, 
 19.00,   1.30E-009, 
 19.10,   1.25E-009, 
 19.20,   1.18E-009, 
 19.30,   1.01E-009, 
 19.40,   4.52E-010, 
 19.50,   2.25E-010, 
 19.60,   2.04E-010, 
 19.70,   2.45E-010, 
 19.80,   5.50E-010, 
 19.90,   1.05E-009, 
 20.00,   1.12E-009, 
 20.10,   1.20E-009, 
 20.20,   1.21E-009, 
 20.30,   1.08E-009, 
 20.40,   5.97E-010, 
 20.50,   1.76E-010, 
 20.60,   6.52E-011, 
 20.70,   3.29E-011, 
 20.80,   5.47E-011, 
 20.90,   2.55E-011, 
 21.00,   9.32E-012, 
 21.10,   3.73E-012, 
 21.20,  -6.34E-011, 
 21.30,  -9.88E-011, 
 21.40,  -1.00E-010, 
 21.50,  -1.25E-010, 
 21.60,  -8.45E-011, 
 21.70,   1.86E-011, 
 21.80,   1.45E-010, 
 21.90,   2.78E-010, 
 22.00,   3.05E-010, 
 22.10,   3.55E-010, 
 22.20,   3.72E-010, 
 22.30,   3.15E-010, 
 22.40,   2.00E-010, 
 22.50,   7.58E-011, 
 22.60,   4.60E-011, 
 22.70,   6.21E-012, 
 22.80,   9.94E-012, 
 22.90,   7.45E-012, 
 23.00,  -1.18E-011, 
 23.10,  -8.32E-011, 
 23.20,  -1.02E-010, 
 23.30,  -1.10E-010, 
 23.40,  -1.14E-010, 
 23.50,  -1.19E-010, 
 23.60,  -8.14E-011, 
 23.70,  -5.59E-011, 
 23.80,  -7.45E-012, 
 23.90,   7.20E-011, 
 24.00,   1.13E-010, 
 24.10,   1.70E-010, 
 24.20,   1.98E-010, 
 24.30,   1.30E-010, 
 24.40,   6.15E-011, 
 24.50,   2.61E-011, 
 24.60,   6.02E-011, 
 24.70,   1.14E-010, 
 24.80,   1.75E-010, 
 24.90,   3.43E-010, 
 25.00,   5.11E-010, 
 25.10,   7.09E-010, 
 25.20,   6.18E-010, 
 25.30,   4.24E-010, 
 25.40,   3.12E-010, 
 25.50,   2.11E-010, 
 25.60,   2.13E-010, 
 25.70,   3.29E-010, 
 25.80,   1.14E-009, 
 25.90,   2.19E-009, 
 26.00,   2.90E-009, 
 26.10,   3.37E-009, 
 26.20,   3.33E-009, 
 26.30,   3.01E-009, 
 26.40,   1.96E-009, 
 26.50,   1.24E-009, 
 26.60,   8.96E-010, 
 26.70,   8.75E-010, 
 26.80,   1.76E-009, 
 26.90,   3.57E-009, 
 27.00,   5.15E-009, 
 27.10,   6.06E-009, 
 27.20,   6.20E-009, 
 27.30,   5.73E-009, 
 27.40,   3.99E-009, 
 27.50,   3.15E-009, 
 27.60,   3.94E-009, 
 27.70,   8.28E-009, 
 27.80,   4.41E-008, 
 27.90,   9.21E-008, 
 28.00,   9.90E-008, 
 28.10,   9.50E-008, 
 28.20,   8.43E-008, 
 28.30,   4.78E-008, 
 28.40,   1.18E-008, 
 28.50,   5.34E-009, 
 28.60,   3.20E-009, 
 28.70,   2.35E-009, 
 28.80,   3.06E-009, 
 28.90,   5.52E-009, 
 29.00,   7.42E-009, 
 29.10,   8.67E-009, 
 29.20,   8.75E-009, 
 29.30,   7.52E-009, 
 29.40,   4.38E-009, 
 29.50,   2.60E-009, 
 29.60,   1.57E-009, 
 29.70,   1.11E-009, 
 29.80,   1.24E-009, 
 29.90,   2.02E-009, 
 30.00,   2.71E-009, 
 30.10,   3.21E-009, 
 30.20,   3.39E-009, 
 30.30,   3.04E-009, 
 30.40,   1.91E-009, 
 30.50,   1.09E-009, 
 30.60,   5.65E-010, 
 30.70,   2.84E-010, 
 30.80,   3.06E-010, 
 30.90,   7.77E-010, 
 31.00,   1.17E-009, 
 31.10,   1.30E-009, 
 31.20,   1.30E-009, 
 31.30,   1.26E-009, 
 31.40,   9.53E-010, 
 31.50,   4.73E-010, 
 31.60,   4.25E-010, 
 31.70,   7.58E-010, 
 31.80,   1.95E-009, 
 31.90,   4.59E-009, 
 32.00,   6.84E-009, 
 32.10,   8.21E-009, 
 32.20,   8.35E-009, 
 32.30,   6.48E-009, 
 32.40,   3.58E-009, 
 32.50,   2.08E-009, 
 32.60,   1.26E-009, 
 32.70,   7.01E-010, 
 32.80,   2.57E-010, 
 32.90,   2.44E-010, 
 33.00,   2.00E-010, 
 33.10,   1.91E-010, 
 33.20,   2.09E-010, 
 33.30,   2.28E-010, 
 33.40,   1.14E-010, 
 33.50,   7.89E-011, 
 33.60,  -1.86E-012, 
 33.70,   1.86E-012, 
 33.80,   6.21E-012, 
 33.90,   2.67E-011, 
 34.00,   1.65E-010, 
 34.10,   1.99E-010, 
 34.20,   2.27E-010, 
 34.30,   1.93E-010, 
 34.40,   7.20E-011, 
 34.50,   1.55E-011, 
 34.60,   3.42E-011, 
 34.70,   1.86E-012, 
 34.80,  -6.21E-012, 
 34.90,  -1.37E-011, 
 35.00,  -6.15E-011, 
 35.10,  -3.48E-011, 
 35.20,  -1.99E-011, 
 35.30,  -2.48E-012, 
 35.40,  -6.21E-012, 
 35.50,  -2.73E-011, 
 35.60,  -2.61E-011, 
 35.70,   2.61E-011, 
 35.80,   8.45E-011, 
 35.90,   1.19E-010, 
 36.00,   2.02E-010, 
 36.10,   2.30E-010, 
 36.20,   3.06E-010, 
 36.30,   3.16E-010, 
 36.40,   2.38E-010, 
 36.50,   1.69E-010, 
 36.60,   9.25E-011, 
 36.70,   4.53E-011, 
 36.80,   4.78E-011, 
 36.90,   1.42E-010, 
 37.00,   2.52E-010, 
 37.10,   4.39E-010, 
 37.20,   5.01E-010, 
 37.30,   4.81E-010, 
 37.40,   2.91E-010, 
 37.50,   1.85E-010, 
 37.60,   1.40E-010, 
 37.70,   8.39E-011, 
 37.80,   1.12E-010, 
 37.90,   2.28E-010, 
 38.00,   4.98E-010, 
 38.10,   7.83E-010, 
 38.20,   9.86E-010, 
 38.30,   8.01E-010, 
 38.40,   2.99E-010, 
 38.50,   2.94E-010, 
 38.60,   2.55E-010, 
 38.70,   2.40E-010, 
