Time - Plot 0	Amplitude - Plot 0	
0	1.0E-5	
1	1.0E-5	
2	1.0E-5	
3	1.0E-5	
4	1.0E-5	
5	1.0E-5	
6	1.0E-5	
7	1.0E-5	
8	1.0E-5	
9	1.0E-5	
10	1.0E-5	
11	1.0E-5	
12	1.0E-5	
13	1.0E-5	
14	1.0E-5	
15	1.0E-5	
16	1.0E-5	
17	1.0E-5	
18	1.0E-5	
19	1.0E-5	
20	1.0E-5	
21	1.0E-5	
22	1.0E-5	
23	1.0E-5	
24	1.0E-5	
25	1.0E-5	
26	1.0E-5	
27	1.0E-5	
28	1.1E-5	
29	1.1E-5	
30	1.1E-5	
31	1.1E-5	
32	1.1E-5	
33	1.1E-5	
34	1.2E-5	
35	1.2E-5	
36	1.3E-5	
37	1.4E-5	
38	1.7E-5	
39	2.6E-5	
40	3.7E-5	
41	4.8E-5	
42	5.9E-5	
43	6.9E-5	
44	8.0E-5	
45	9.0E-5	
46	1.0E-4	
47	1.1E-4	
48	1.2E-4	
49	1.3E-4	
50	1.4E-4	
51	1.5E-4	
52	1.6E-4	
53	1.7E-4	
54	1.8E-4	
55	1.9E-4	
56	2.0E-4	
57	2.0E-4	
58	2.1E-4	
59	2.2E-4	
60	2.3E-4	
61	2.4E-4	
62	2.5E-4	
63	2.6E-4	
64	2.7E-4	
65	2.7E-4	
66	2.8E-4	
67	2.9E-4	
68	3.0E-4	
69	3.1E-4	
70	3.2E-4	
71	3.3E-4	
72	3.4E-4	
73	3.5E-4	
74	3.6E-4	
75	3.6E-4	
76	3.7E-4	
77	3.8E-4	
78	3.9E-4	
79	4.0E-4	
80	4.1E-4	
81	4.2E-4	
82	4.3E-4	
83	4.4E-4	
84	4.5E-4	
85	4.5E-4	
86	4.6E-4	
87	4.7E-4	
88	4.8E-4	
89	4.9E-4	
90	5.0E-4	
91	5.0E-4	
92	5.1E-4	
93	5.2E-4	
94	5.3E-4	
95	5.4E-4	
96	5.5E-4	
97	5.6E-4	
98	5.7E-4	
99	5.7E-4	
100	5.8E-4	
101	5.9E-4	
102	6.0E-4	
103	6.1E-4	
104	6.2E-4	
105	6.3E-4	
106	6.4E-4	
107	6.5E-4	
108	6.6E-4	
109	6.7E-4	
110	6.8E-4	
111	6.9E-4	
112	6.9E-4	
113	7.0E-4	
114	7.1E-4	
115	7.2E-4	
116	7.3E-4	
117	7.4E-4	
118	7.5E-4	
119	7.6E-4	
120	7.7E-4	
121	7.8E-4	
122	7.9E-4	
123	8.0E-4	
124	8.1E-4	
125	8.2E-4	
126	8.3E-4	
127	8.4E-4	
128	8.5E-4	
129	8.6E-4	
130	8.6E-4	
131	8.7E-4	
132	8.8E-4	
133	8.9E-4	
134	9.0E-4	
135	9.1E-4	
136	9.2E-4	
137	9.3E-4	
138	9.4E-4	
139	9.5E-4	
140	9.5E-4	
141	9.6E-4	
142	9.7E-4	
143	9.8E-4	
144	9.9E-4	
145	1.0E-3	
146	1.0E-3	
147	1.0E-3	
148	1.0E-3	
149	1.0E-3	
150	1.0E-3	
151	1.1E-3	
152	1.1E-3	
153	1.1E-3	
154	1.1E-3	
155	1.1E-3	
156	1.1E-3	
157	1.1E-3	
158	1.1E-3	
159	1.1E-3	
160	1.1E-3	
161	1.1E-3	
162	1.2E-3	
163	1.2E-3	
164	1.2E-3	
165	1.2E-3	
166	1.2E-3	
167	1.2E-3	
168	1.2E-3	
169	1.2E-3	
170	1.2E-3	
171	1.2E-3	
172	1.3E-3	
173	1.2E-3	
174	1.3E-3	
175	1.3E-3	
176	1.3E-3	
177	1.3E-3	
178	1.3E-3	
179	1.3E-3	
180	1.3E-3	
181	1.3E-3	
182	1.3E-3	
183	1.3E-3	
184	1.3E-3	
185	1.4E-3	
186	1.4E-3	
187	1.4E-3	
188	1.4E-3	
189	1.4E-3	
190	1.4E-3	
191	1.4E-3	
192	1.4E-3	
193	1.4E-3	
