Time - Plot 0	Amplitude - Plot 0	
0	1.0E+3	
1	1.0E+3	
2	1.0E+3	
3	1.0E+3	
4	1.0E+3	
5	1.0E+3	
6	3.7E+2	
7	1.5E+2	
8	7.6E+1	
9	4.1E+1	
10	2.3E+1	
11	1.3E+1	
12	6.1E+0	
13	1.9E+0	
14	2.9E-3	
15	6.6E-4	
16	3.7E-4	
17	2.6E-4	
18	2.0E-4	
19	1.6E-4	
20	1.3E-4	
21	1.2E-4	
22	1.0E-4	
23	9.0E-5	
24	8.0E-5	
25	7.3E-5	
26	6.7E-5	
27	6.2E-5	
28	5.8E-5	
29	5.4E-5	
30	5.1E-5	
31	4.8E-5	
32	4.5E-5	
33	4.3E-5	
34	4.1E-5	
35	3.9E-5	
36	3.7E-5	
37	3.6E-5	
38	3.4E-5	
39	3.3E-5	
40	3.2E-5	
41	3.1E-5	
42	3.0E-5	
43	2.9E-5	
44	2.8E-5	
45	2.7E-5	
46	2.7E-5	
47	2.6E-5	
48	2.5E-5	
49	2.4E-5	
50	2.4E-5	
51	2.3E-5	
52	2.2E-5	
53	2.2E-5	
54	2.1E-5	
55	2.1E-5	
56	2.0E-5	
57	2.0E-5	
58	1.9E-5	
59	1.9E-5	
60	1.9E-5	
61	1.8E-5	
62	1.8E-5	
63	1.8E-5	
64	1.7E-5	
65	1.7E-5	
66	1.7E-5	
67	1.6E-5	
68	1.6E-5	
69	1.6E-5	
70	1.5E-5	
71	1.5E-5	
72	1.5E-5	
73	1.5E-5	
74	1.4E-5	
75	1.4E-5	
76	1.4E-5	
77	1.4E-5	
78	1.4E-5	
79	1.3E-5	
80	1.3E-5	
81	1.3E-5	
82	1.3E-5	
83	1.3E-5	
84	1.3E-5	
85	1.2E-5	
86	1.2E-5	
87	1.2E-5	
88	1.2E-5	
89	1.2E-5	
90	1.2E-5	
91	1.1E-5	
92	1.1E-5	
93	1.1E-5	
94	1.1E-5	
95	1.1E-5	
96	1.1E-5	
97	1.1E-5	
98	1.0E-5	
99	1.0E-5	
100	1.0E-5	
101	1.0E-5	
102	1.0E-5	
103	9.9E-6	
104	9.8E-6	
105	9.7E-6	
106	9.6E-6	
107	9.5E-6	
108	9.4E-6	
109	9.3E-6	
110	9.2E-6	
111	9.1E-6	
112	9.0E-6	
113	8.9E-6	
114	8.9E-6	
115	8.8E-6	
116	8.7E-6	
117	8.6E-6	
118	8.6E-6	
119	8.5E-6	
120	8.4E-6	
121	8.3E-6	
122	8.2E-6	
123	8.2E-6	
124	8.1E-6	
125	8.0E-6	
126	8.0E-6	
127	7.9E-6	
128	7.9E-6	
129	7.8E-6	
130	7.7E-6	
131	7.7E-6	
132	7.7E-6	
133	7.6E-6	
134	7.5E-6	
135	7.4E-6	
136	7.4E-6	
137	7.4E-6	
138	7.3E-6	
139	9.1E-6	
140	8.5E-6	
141	8.2E-6	
142	7.9E-6	
143	7.7E-6	
144	7.5E-6	
145	7.4E-6	
146	7.3E-6	
147	7.2E-6	
148	7.1E-6	
149	7.0E-6	
150	7.0E-6	
151	6.9E-6	
152	6.9E-6	
153	6.8E-6	
154	6.7E-6	
155	6.7E-6	
156	6.6E-6	
157	6.5E-6	
