Jan 12, 2018  03:41:59 PM
Residual Gas Analyzer Software 
Software Version, 3.101.209

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-001 
Filament Current, 1.00, mAmps


  1.00,   4.18E-004, 
  1.10,   4.88E-004, 
  1.20,   3.62E-004, 
  1.30,  -5.40E-005, 
  1.40,  -5.40E-005, 
  1.50,  -5.40E-005, 
  1.60,  -5.40E-005, 
  1.70,  -5.40E-005, 
  1.80,  -5.40E-005, 
  1.90,  -5.40E-005, 
  2.00,  -5.40E-005, 
  2.10,  -5.40E-005, 
  2.20,  -5.40E-005, 
  2.30,  -5.40E-005, 
  2.40,   2.23E-004, 
  2.50,   4.25E-004, 
  2.60,   1.57E-004, 
  2.70,   1.16E-004, 
  2.80,   1.01E-004, 
  2.90,   9.04E-005, 
  3.00,   8.56E-005, 
  3.10,   8.01E-005, 
  3.20,   7.23E-005, 
  3.30,   6.68E-005, 
  3.40,   6.16E-005, 
  3.50,   5.43E-005, 
  3.60,   4.91E-005, 
  3.70,   4.61E-005, 
  3.80,   4.37E-005, 
  3.90,   4.15E-005, 
  4.00,   4.00E-005, 
  4.10,   3.59E-005, 
  4.20,   3.45E-005, 
  4.30,   3.08E-005, 
  4.40,   2.92E-005, 
  4.50,   2.87E-005, 
  4.60,   2.67E-005, 
  4.70,   2.45E-005, 
  4.80,   2.43E-005, 
  4.90,   2.30E-005, 
  5.00,   2.12E-005, 
  5.10,   2.07E-005, 
  5.20,   2.04E-005, 
  5.30,   1.91E-005, 
  5.40,   1.79E-005, 
  5.50,   1.73E-005, 
  5.60,   1.67E-005, 
  5.70,   1.74E-005, 
  5.80,   1.76E-005, 
  5.90,   1.72E-005, 
  6.00,   1.62E-005, 
  6.10,   1.49E-005, 
  6.20,   1.45E-005, 
  6.30,   1.43E-005, 
  6.40,   1.35E-005, 
  6.50,   1.23E-005, 
  6.60,   1.14E-005, 
  6.70,   1.15E-005, 
  6.80,   1.00E-005, 
  6.90,   1.06E-005, 
  7.00,   1.20E-005, 
  7.10,   1.07E-005, 
  7.20,   1.08E-005, 
  7.30,   9.58E-006, 
  7.40,   9.63E-006, 
  7.50,   9.32E-006, 
  7.60,   9.66E-006, 
  7.70,   9.51E-006, 
  7.80,   9.31E-006, 
  7.90,   8.62E-006, 
  8.00,   9.63E-006, 
  8.10,   9.55E-006, 
  8.20,   9.57E-006, 
  8.30,   7.99E-006, 
  8.40,   7.46E-006, 
  8.50,   7.18E-006, 
  8.60,   7.15E-006, 
  8.70,   6.49E-006, 
  8.80,   7.84E-006, 
  8.90,   7.60E-006, 
  9.00,   6.67E-006, 
  9.10,   5.68E-006, 
  9.20,   5.01E-006, 
  9.30,   4.34E-006, 
  9.40,   4.74E-006, 
  9.50,   4.33E-006, 
  9.60,   4.81E-006, 
  9.70,   4.54E-006, 
  9.80,   5.44E-006, 
  9.90,   5.83E-006, 
 10.00,   5.39E-006, 
 10.10,   5.13E-006, 
 10.20,   5.41E-006, 
 10.30,   5.94E-006, 
 10.40,   5.79E-006, 
 10.50,   5.49E-006, 
 10.60,   5.13E-006, 
 10.70,   5.30E-006, 
 10.80,   5.49E-006, 
 10.90,   6.09E-006, 
 11.00,   5.21E-006, 
 11.10,   5.16E-006, 
 11.20,   6.33E-006, 
 11.30,   8.15E-006, 
 11.40,   9.46E-006, 
 11.50,   2.01E-005, 
 11.60,   7.79E-005, 
 11.70,   2.16E-004, 
 11.80,   3.09E-004, 
 11.90,   3.96E-004, 
 12.00,   4.27E-004, 
 12.10,   4.45E-004, 
 12.20,   3.73E-004, 
 12.30,   2.76E-004, 
 12.40,   1.04E-004, 
 12.50,   4.31E-005, 
 12.60,   3.49E-005, 
 12.70,   4.89E-005, 
 12.80,   6.26E-005, 
 12.90,   7.70E-005, 
 13.00,   8.84E-005, 
 13.10,   9.63E-005, 
 13.20,   9.22E-005, 
 13.30,   7.72E-005, 
 13.40,   4.84E-005, 
 13.50,   3.86E-005, 
 13.60,   7.24E-005, 
 13.70,   2.43E-004, 
 13.80,   3.72E-004, 
 13.90,   4.67E-004, 
 14.00,   5.01E-004, 
 14.10,   5.27E-004, 
 14.20,   4.48E-004, 
 14.30,   3.57E-004, 
 14.40,   1.36E-004, 
 14.50,   5.91E-005, 
 14.60,   7.23E-005, 
 14.70,   2.49E-004, 
 14.80,   4.18E-004, 
 14.90,   5.10E-004, 
 15.00,   5.53E-004, 
 15.10,   5.89E-004, 
 15.20,   5.26E-004, 
 15.30,   4.40E-004, 
 15.40,   1.86E-004, 
 15.50,   1.05E-004, 
 15.60,   3.23E-004, 
 15.70,   7.60E-004, 
 15.80,   7.60E-004, 
 15.90,   7.60E-004, 
 16.00,   7.60E-004, 
 16.10,   7.60E-004, 
 16.20,   7.60E-004, 
 16.30,   7.49E-004, 
 16.40,   3.59E-004, 
 16.50,   5.10E-004, 
 16.60,   5.91E-004, 
 16.70,  -5.40E-005, 
 16.80,  -5.40E-005, 
 16.90,  -5.40E-005, 
 17.00,  -5.40E-005, 
 17.10,  -5.40E-005, 
 17.20,  -5.40E-005, 
 17.30,   1.15E-004, 
 17.40,   7.60E-004, 
 17.50,   7.60E-004, 
 17.60,   7.26E-005, 
 17.70,  -5.40E-005, 
 17.80,  -5.40E-005, 
 17.90,  -5.40E-005, 
 18.00,  -5.40E-005, 
 18.10,  -5.40E-005, 
 18.20,  -5.40E-005, 
 18.30,  -5.40E-005, 
 18.40,   5.61E-004, 
 18.50,   1.42E-004, 
 18.60,   5.69E-005, 
 18.70,   4.84E-005, 
 18.80,   6.50E-005, 
 18.90,   8.35E-005, 
 19.00,   9.31E-005, 
 19.10,   9.90E-005, 
 19.20,   9.65E-005, 
 19.30,   8.34E-005, 
 19.40,   4.62E-005, 
 19.50,   2.35E-005, 
 19.60,   1.62E-005, 
 19.70,   2.01E-005, 
 19.80,   3.81E-005, 
 19.90,   5.69E-005, 
 20.00,   6.46E-005, 
 20.10,   6.94E-005, 
 20.20,   6.83E-005, 
 20.30,   6.25E-005, 
 20.40,   3.43E-005, 
 20.50,   1.80E-005, 
 20.60,   1.02E-005, 
 20.70,   6.07E-006, 
 20.80,   4.37E-006, 
 20.90,   3.04E-006, 
 21.00,   2.45E-006, 
 21.10,   2.21E-006, 
 21.20,   2.53E-006, 
 21.30,   1.95E-006, 
 21.40,   2.03E-006, 
 21.50,   1.24E-006, 
 21.60,   1.12E-006, 
 21.70,   5.01E-006, 
 21.80,   1.33E-005, 
 21.90,   2.00E-005, 
 22.00,   2.24E-005, 
 22.10,   2.37E-005, 
 22.20,   2.40E-005, 
 22.30,   2.14E-005, 
 22.40,   1.20E-005, 
 22.50,   5.58E-006, 
 22.60,   3.16E-006, 
 22.70,   1.67E-006, 
 22.80,   1.69E-006, 
 22.90,   1.24E-006, 
 23.00,   4.97E-007, 
 23.10,  -1.79E-007, 
 23.20,  -1.47E-007, 
 23.30,  -1.04E-006, 
 23.40,  -4.69E-007, 
 23.50,  -6.96E-007, 
 23.60,  -6.20E-007, 
 23.70,   5.51E-007, 
 23.80,   3.95E-006, 
 23.90,   9.88E-006, 
 24.00,   1.42E-005, 
 24.10,   1.60E-005, 
 24.20,   1.54E-005, 
 24.30,   1.47E-005, 
 24.40,   8.25E-006, 
 24.50,   4.33E-006, 
 24.60,   2.98E-006, 
 24.70,   4.86E-006, 
 24.80,   1.81E-005, 
 24.90,   3.81E-005, 
 25.00,   5.06E-005, 
 25.10,   5.77E-005, 
 25.20,   5.62E-005, 
 25.30,   5.18E-005, 
 25.40,   3.11E-005, 
 25.50,   1.83E-005, 
 25.60,   1.62E-005, 
 25.70,   2.91E-005, 
 25.80,   1.08E-004, 
 25.90,   3.01E-004, 
 26.00,   3.66E-004, 
 26.10,   3.82E-004, 
 26.20,   3.30E-004, 
 26.30,   2.83E-004, 
 26.40,   1.03E-004, 
 26.50,   4.31E-005, 
 26.60,   3.40E-005, 
 26.70,   5.15E-005, 
 26.80,   2.23E-004, 
 26.90,   6.84E-004, 
 27.00,   7.60E-004, 
 27.10,   7.60E-004, 
 27.20,   7.21E-004, 
 27.30,   6.15E-004, 
 27.40,   2.00E-004, 
 27.50,   1.25E-004, 
 27.60,   2.51E-004, 
 27.70,   6.92E-004, 
 27.80,   3.20E-004, 
 27.90,  -5.40E-005, 
 28.00,  -5.40E-005, 
 28.10,  -5.40E-005, 
 28.20,  -5.40E-005, 
 28.30,   3.74E-004, 
 28.40,   3.08E-004, 
 28.50,   6.91E-005, 
 28.60,   4.41E-005, 
 28.70,   5.98E-005, 
 28.80,   2.65E-004, 
 28.90,   7.48E-004, 
 29.00,   7.60E-004, 
 29.10,   7.60E-004, 
 29.20,   7.60E-004, 
 29.30,   6.89E-004, 
 29.40,   1.86E-004, 
 29.50,   5.24E-005, 
 29.60,   2.74E-005, 
 29.70,   2.45E-005, 
 29.80,   5.48E-005, 
 29.90,   2.02E-004, 
 30.00,   3.06E-004, 
 30.10,   3.55E-004, 
 30.20,   3.18E-004, 
 30.30,   2.48E-004, 
 30.40,   8.61E-005, 
 30.50,   3.15E-005, 
 30.60,   1.74E-005, 
 30.70,   1.29E-005, 
 30.80,   1.97E-005, 
 30.90,   5.93E-005, 
 31.00,   1.10E-004, 
 31.10,   1.44E-004, 
 31.20,   1.42E-004, 
 31.30,   1.26E-004, 
 31.40,   6.12E-005, 
 31.50,   2.89E-005, 
 31.60,   2.22E-005, 
 31.70,   2.73E-005, 
 31.80,   8.23E-005, 
 31.90,   3.53E-004, 
 32.00,   5.05E-004, 
 32.10,   5.70E-004, 
 32.20,   5.00E-004, 
 32.30,   3.26E-004, 
 32.40,   8.60E-005, 
 32.50,   3.32E-005, 
 32.60,   1.57E-005, 
 32.70,   7.66E-006, 
 32.80,   6.76E-006, 
 32.90,   7.34E-006, 
 33.00,   7.63E-006, 
 33.10,   9.15E-006, 
 33.20,   8.64E-006, 
 33.30,   8.60E-006, 
 33.40,   5.93E-006, 
 33.50,   3.00E-006, 
 33.60,   1.76E-006, 
 33.70,   1.36E-006, 
 33.80,   2.06E-006, 
 33.90,   6.12E-006, 
 34.00,   1.30E-005, 
 34.10,   1.68E-005, 
 34.20,   1.73E-005, 
 34.30,   1.50E-005, 
 34.40,   7.55E-006, 
 34.50,   3.76E-006, 
 34.60,   1.59E-006, 
 34.70,   6.86E-007, 
 34.80,  -1.91E-007, 
 34.90,   2.58E-008, 
 35.00,   5.53E-007, 
 35.10,   9.65E-007, 
 35.20,   1.19E-006, 
 35.30,   2.58E-007, 
 35.40,   1.45E-007, 
 35.50,   1.78E-007, 
 35.60,  -2.02E-007, 
 35.70,  -4.38E-007, 
 35.80,   7.21E-007, 
 35.90,   5.99E-006, 
 36.00,   1.31E-005, 
 36.10,   1.76E-005, 
 36.20,   1.88E-005, 
 36.30,   1.72E-005, 
 36.40,   7.04E-006, 
 36.50,   3.10E-006, 
 36.60,   2.24E-006, 
 36.70,   2.32E-006, 
 36.80,   3.32E-006, 
 36.90,   8.04E-006, 
 37.00,   1.82E-005, 
 37.10,   2.54E-005, 
 37.20,   2.91E-005, 
 37.30,   2.95E-005, 
 37.40,   1.93E-005, 
 37.50,   8.56E-006, 
 37.60,   5.42E-006, 
 37.70,   4.36E-006, 
 37.80,   6.28E-006, 
 37.90,   1.54E-005, 
 38.00,   3.08E-005, 
 38.10,   4.90E-005, 
 38.20,   5.82E-005, 
 38.30,   5.81E-005, 
 38.40,   3.40E-005, 
 38.50,   1.89E-005, 
 38.60,   1.31E-005, 
